urls,status,movie
http://www.imdb.com/title/tt0453418/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0453418/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0453418/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0064354/usercomments,True,Airplane! (1980)
http://www.imdb.com/title/tt0064354/usercomments,True,Airplane! (1980)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0100680/usercomments,True,Fight Club (1999)
http://www.imdb.com/title/tt0177606/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
http://www.imdb.com/title/tt0177606/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
http://www.imdb.com/title/tt0177606/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
http://www.imdb.com/title/tt0177606/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
http://www.imdb.com/title/tt0177606/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
http://www.imdb.com/title/tt0074223/usercomments,True,The Wizard of Oz (1939)
http://www.imdb.com/title/tt0074223/usercomments,True,The Wizard of Oz (1939)
http://www.imdb.com/title/tt0074223/usercomments,True,The Wizard of Oz (1939)
http://www.imdb.com/title/tt0074223/usercomments,True,The Wizard of Oz (1939)
http://www.imdb.com/title/tt0074223/usercomments,True,The Wizard of Oz (1939)
http://www.imdb.com/title/tt0074223/usercomments,True,The Wizard of Oz (1939)
http://www.imdb.com/title/tt0074223/usercomments,True,The Wizard of Oz (1939)
http://www.imdb.com/title/tt0074223/usercomments,True,The Wizard of Oz (1939)
http://www.imdb.com/title/tt0074223/usercomments,True,The Wizard of Oz (1939)
http://www.imdb.com/title/tt0042042/usercomments,True,Dude Where's My Car? (2000)
http://www.imdb.com/title/tt0042042/usercomments,True,Dude Where's My Car? (2000)
http://www.imdb.com/title/tt0042042/usercomments,True,Dude Where's My Car? (2000)
http://www.imdb.com/title/tt0042042/usercomments,True,Dude Where's My Car? (2000)
http://www.imdb.com/title/tt0042042/usercomments,True,Dude Where's My Car? (2000)
http://www.imdb.com/title/tt0042042/usercomments,True,Dude Where's My Car? (2000)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0264689/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0047200/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0047200/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0047200/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0047200/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0047200/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0047200/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0047200/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0249106/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0249106/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0249106/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0249106/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0249106/usercomments,True,The Big Lebowski (1998)
http://www.imdb.com/title/tt0052855/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0052855/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0052855/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0052855/usercomments,True,The Matrix (1999)
http://www.imdb.com/title/tt0893406/usercomments,True,Dude Where's My Car? (2000)
http://www.imdb.com/title/tt0893406/usercomments,True,Dude Where's My Car? (2000)
http://www.imdb.com/title/tt0893406/usercomments,True,Dude Where's My Car? (2000)
http://www.imdb.com/title/tt0893406/usercomments,True,Dude Where's My Car? (2000)
http://www.imdb.com/title/tt0893406/usercomments,True,Dude Where's My Car? (2000)
http://www.imdb.com/title/tt0194989/usercomments,True,Groundhog Day (1993)
http://www.imdb.com/title/tt0194989/usercomments,True,Groundhog Day (1993)
http://www.imdb.com/title/tt0194989/usercomments,True,Groundhog Day (1993)
http://www.imdb.com/title/tt0194989/usercomments,True,Groundhog Day (1993)
http://www.imdb.com/title/tt0194989/usercomments,True,Groundhog Day (1993)
