,Unnamed: 0,urls,status,movie
0,0,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
1,1,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
2,2,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
3,3,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
4,4,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
5,5,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
6,6,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
7,7,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
8,8,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
9,9,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
10,10,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
11,11,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
12,12,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
13,13,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
14,14,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
15,15,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
16,16,http://www.imdb.com/title/tt0406816/usercomments,True,Groundhog Day (1993)
17,17,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
18,18,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
19,19,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
20,20,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
21,21,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
22,22,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
23,23,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
24,24,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
25,25,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
26,26,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
27,27,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
28,28,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
29,29,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
30,30,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
31,31,http://www.imdb.com/title/tt0085461/usercomments,True,The Princess Bride (1987)
32,32,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
33,33,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
34,34,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
35,35,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
36,36,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
37,37,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
38,38,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
39,39,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
40,40,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
41,41,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
42,42,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
43,43,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
44,44,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
45,45,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
46,46,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
47,47,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
48,48,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
49,49,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
50,50,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
51,51,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
52,52,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
53,53,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
54,54,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
55,55,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
56,56,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
57,57,http://www.imdb.com/title/tt0407936/usercomments,True,Eternal Sunshine of the Spotless Mind (2004)
